# w_matsubara          00_re         00_im          01_re         01_im          02_re         02_im          03_re         03_im          05_re         05_im          06_re         06_im          07_re         07_im          0a_re         0a_im          0b_re         0b_im          0f_re         0f_im          11_re         11_im          12_re         12_im          14_re         14_im          15_re         15_im          16_re         16_im          17_re         17_im          19_re         19_im          1a_re         1a_im          1b_re         1b_im          1d_re         1d_im          1e_re         1e_im          55_re         55_im          56_re         56_im          5a_re         5a_im
 1.256637e-01   1.071330e+00 -6.583007e-01  -2.368730e-01  1.879368e-01   6.804434e-02 -1.341469e-01   4.362748e-02  4.287695e-02  -7.896593e-02  7.225229e-02   2.102856e-03 -1.811168e-02   4.358834e-03  1.340752e-02  -1.075578e-03 -9.171993e-04  -1.926004e-03 -3.491707e-03   5.769429e-03  8.524961e-04   5.293769e-01 -1.886530e-01  -3.353232e-01  1.690152e-01  -9.022440e-02  2.945983e-02   7.558258e-02 -2.952872e-02  -4.210956e-02  2.710909e-02   1.673380e-02 -1.620889e-02   1.718928e-03 -2.980287e-03  -2.578586e-04  8.290158e-04  -2.448104e-03  4.566864e-03  -1.555099e-04  2.556087e-03  -6.015496e-04 -1.109466e-03   2.856458e-02 -1.117466e-02  -4.324589e-03  4.131595e-03   3.166404e-05  3.203853e-04  
 3.769911e-01   9.283859e-01 -6.115257e-01  -1.991965e-01  1.682638e-01   5.150804e-02 -1.062562e-01   2.947761e-02  2.795031e-02  -6.552417e-02  6.322791e-02   7.696037e-04 -1.377439e-02   3.975910e-03  6.579549e-03  -4.342109e-04 -1.804889e-04  -8.510318e-04 -1.021788e-03   1.521531e-03 -6.812717e-04   4.692471e-01 -2.021827e-01  -2.847809e-01  1.681685e-01  -7.391931e-02  3.400814e-02   6.795098e-02 -3.038694e-02  -3.513281e-02  2.594374e-02   9.287347e-03 -1.323660e-02   5.924539e-04 -2.169505e-03  -4.662630e-05  3.699933e-04  -9.918794e-04  2.197819e-03   2.948713e-04  1.490447e-03  -2.462781e-04 -5.092560e-04   2.582541e-02 -1.138748e-02  -3.392549e-03  3.863086e-03   4.644459e-05  1.238781e-04  
 6.283185e-01   8.108069e-01 -5.837219e-01  -1.687137e-01  1.554745e-01   3.856798e-02 -8.780038e-02   2.174560e-02  1.732406e-02  -5.465824e-02  5.732023e-02  -2.939094e-04 -1.067457e-02   3.628829e-03  3.438606e-03  -2.166143e-04 -1.231069e-05  -5.162325e-04 -3.449464e-04   5.284317e-04 -4.577625e-04   4.195510e-01 -2.128124e-01  -2.447870e-01  1.672496e-01  -6.192330e-02  3.658621e-02   6.141120e-02 -3.131986e-02  -2.952990e-02  2.499977e-02   4.818933e-03 -1.104807e-02  -1.885637e-05 -1.639080e-03   3.919691e-05  1.866649e-04  -1.951778e-04  1.146528e-03   5.282371e-04  7.326414e-04  -1.819870e-04 -1.486717e-04   2.346031e-02 -1.168783e-02  -2.616203e-03  3.610906e-03   4.537893e-05  4.954276e-05  
 8.796459e-01   7.150215e-01 -5.637469e-01  -1.443542e-01  1.459777e-01   2.900424e-02 -7.470605e-02   1.698959e-02  1.060211e-02  -4.605731e-02  5.297353e-02  -1.030009e-03 -8.450370e-03   3.147846e-03  1.681050e-03  -1.087878e-04  3.746236e-05  -3.169255e-04 -8.030541e-05   1.641717e-04 -3.022379e-04   3.777299e-01 -2.202242e-01  -2.126230e-01  1.653785e-01  -5.268740e-02  3.776386e-02   5.579660e-02 -3.208252e-02  -2.501646e-02  2.409070e-02   2.173268e-03 -9.232196e-03  -3.426714e-04 -1.225014e-03   5.920288e-05  8.985908e-05   8.940498e-05  6.061558e-04   5.314791e-04  3.190605e-04  -1.122310e-04 -2.495335e-05   2.142240e-02 -1.195984e-02  -1.987356e-03  3.371984e-03   3.524413e-05  1.527806e-05  
 1.130973e+00   6.359032e-01 -5.468628e-01  -1.246805e-01  1.381463e-01   2.202864e-02 -6.484455e-02   1.365332e-02  6.315173e-03  -3.919285e-02  4.946507e-02  -1.489496e-03 -6.791768e-03   2.639035e-03  6.473708e-04  -5.130492e-05  4.514133e-05  -1.892586e-04  1.958843e-05   2.518095e-05 -1.906900e-04   3.418642e-01 -2.247929e-01  -1.862302e-01  1.625182e-01  -4.528164e-02  3.801176e-02   5.092279e-02 -3.260841e-02  -2.134719e-02  2.316102e-02   5.617777e-04 -7.692910e-03  -5.044125e-04 -8.970055e-04   5.453466e-05  3.747577e-05   1.664115e-04  3.057021e-04   4.569082e-04  8.325048e-05  -6.160669e-05  1.477066e-05   1.964737e-02 -1.216451e-02  -1.483122e-03  3.139260e-03   2.425438e-05 -2.001508e-07  
 1.382301e+00   5.694651e-01 -5.311892e-01  -1.085439e-01  1.312581e-01   1.690778e-02 -5.709130e-02   1.112792e-02  3.531807e-03  -3.363168e-02  4.645883e-02  -1.750106e-03 -5.516670e-03   2.164090e-03  2.730754e-05  -2.040453e-05  3.918554e-05  -1.080025e-04  5.145798e-05  -2.535142e-05 -1.154893e-04   3.106674e-01 -2.270491e-01  -1.642130e-01  1.588787e-01  -3.919745e-02  3.765973e-02   4.664249e-02 -3.290303e-02  -1.833066e-02  2.220896e-02  -4.274420e-04 -6.395820e-03  -5.723283e-04 -6.379508e-04   4.261340e-05  9.653760e-06   1.633579e-04  1.351961e-04   3.639443e-04 -4.992751e-05  -2.991922e-05  2.339083e-05   1.808237e-02 -1.229537e-02  -1.079300e-03  2.912360e-03   1.520277e-05 -6.485391e-06  
 1.633628e+00   5.128745e-01 -5.160234e-01  -9.512146e-02  1.249859e-01   1.310631e-02 -5.081336e-02   9.138318e-03  1.700937e-03  -2.906205e-02  4.379171e-02  -1.875254e-03 -4.515337e-03   1.747036e-03 -3.426619e-04  -4.235513e-06  3.009359e-05  -5.741475e-05  5.543151e-05  -3.971985e-05 -6.695055e-05   2.832564e-01 -2.274861e-01  -1.456115e-01  1.546961e-01  -3.412171e-02  3.692446e-02   4.284824e-02 -3.299591e-02  -1.582620e-02  2.124907e-02  -1.026562e-03 -5.311284e-03  -5.853778e-04 -4.348116e-04   3.027875e-05 -4.269610e-06   1.333335e-04  3.967660e-05   2.754216e-04 -1.213110e-04  -1.175462e-05  2.115068e-05   1.668881e-02 -1.235811e-02  -7.557506e-04  2.693259e-03   8.572053e-06 -8.281156e-06  
 1.884956e+00   4.641153e-01 -5.011338e-01  -8.382692e-02  1.191730e-01   1.025212e-02 -4.562395e-02   7.537135e-03  4.905878e-04  -2.526231e-02  4.137811e-02  -1.910455e-03 -3.717323e-03   1.392759e-03 -5.563512e-04   3.704656e-06  2.156110e-05  -2.676690e-05  4.887478e-05  -3.959442e-05 -3.655617e-05   2.589960e-01 -2.265151e-01  -1.297415e-01  1.501706e-01  -2.984280e-02  3.594907e-02   3.946110e-02 -3.292112e-02  -1.372988e-02  2.029742e-02  -1.375032e-03 -4.409556e-03  -5.667489e-04 -2.768102e-04   1.988072e-05 -1.038165e-05   9.821543e-05 -1.162886e-05   1.992409e-04 -1.550988e-04  -2.153655e-06  1.599513e-05   1.543859e-02 -1.236199e-02  -4.965299e-04  2.484110e-03   4.052662e-06 -7.990371e-06  
 2.136283e+00   4.217162e-01 -4.864749e-01  -7.423375e-02  1.137383e-01   8.086931e-03 -4.126881e-02   6.233030e-03 -3.062064e-04  -2.207202e-02  3.916900e-02  -1.887204e-03 -3.074627e-03   1.097667e-03 -6.707156e-04   7.105773e-06  1.465845e-05  -8.830346e-06  3.934667e-05  -3.428490e-05 -1.801172e-05   2.374078e-01 -2.244672e-01  -1.160964e-01  1.454577e-01  -2.620805e-02  3.482964e-02   3.642129e-02 -3.271054e-02  -1.196338e-02  1.936727e-02  -1.560448e-03 -3.662448e-03  -5.306160e-04 -1.549920e-04   1.191928e-05 -1.222877e-05   6.644625e-05 -3.687300e-05   1.370507e-04 -1.662039e-04   2.388510e-06  1.089792e-05   1.431064e-02 -1.231663e-02  -2.890849e-04  2.286532e-03   1.150037e-06 -6.847646e-06  
 2.387610e+00   3.845726e-01 -4.720706e-01  -6.602347e-02  1.086363e-01   6.429331e-03 -3.757083e-02   5.163180e-03 -8.227796e-04  -1.937218e-02  3.713356e-02  -1.827065e-03 -2.552972e-03   8.549376e-04 -7.216382e-04   8.077858e-06  9.466844e-06   1.161062e-06  3.000234e-05  -2.776997e-05 -7.012743e-06   2.181168e-01 -2.216058e-01  -1.042897e-01  1.406735e-01  -2.310224e-02  3.363159e-02   3.368198e-02 -3.239195e-02  -1.046636e-02  1.846823e-02  -1.639522e-03 -3.044640e-03  -4.857533e-04 -6.199052e-05   6.186974e-06 -1.187466e-05   4.063980e-05 -4.699582e-05   8.795104e-05 -1.639737e-04   4.111781e-06  6.792062e-06   1.328866e-02 -1.223086e-02  -1.234743e-04  2.101496e-03  -5.984179e-07 -5.472238e-06  
